Mes	Día	Ventas
Enero	1	1
Enero	2	0
Enero	3	0
Enero	4	0
Enero	5	0
Enero	6	0
Enero	7	0
Enero	8	0
Enero	9	0
Enero	10	0
Enero	11	0
Enero	12	0
Enero	13	0
Enero	14	0
Enero	15	0
Enero	16	0
Enero	17	0
Enero	18	0
Enero	19	0
Enero	20	0
Enero	21	0
Enero	22	0
Enero	23	0
Enero	24	0
Enero	25	0
Enero	26	0
Enero	27	0
Enero	28	0
Enero	29	0
Enero	30	0
Enero	31	0
Febrero	1	0
Febrero	2	0
Febrero	3	0
Febrero	4	0
Febrero	5	0
Febrero	6	0
Febrero	7	0
Febrero	8	0
Febrero	9	0
Febrero	10	0
Febrero	11	0
Febrero	12	0
Febrero	13	0
Febrero	14	0
Febrero	15	0
Febrero	16	0
Febrero	17	0
Febrero	18	0
Febrero	19	0
Febrero	20	0
Febrero	21	0
Febrero	22	0
Febrero	23	0
Febrero	24	0
Febrero	25	0
Febrero	26	0
Febrero	27	0
Febrero	28	0
Febrero	29	0
Marzo	1	0
Marzo	2	0
Marzo	3	0
Marzo	4	0
Marzo	5	0
Marzo	6	0
Marzo	7	0
Marzo	8	0
Marzo	9	0
Marzo	10	0
Marzo	11	0
Marzo	12	0
Marzo	13	0
Marzo	14	0
Marzo	15	0
Marzo	16	0
Marzo	17	0
Marzo	18	0
Marzo	19	0
Marzo	20	0
Marzo	21	0
Marzo	22	0
Marzo	23	0
Marzo	24	0
Marzo	25	0
Marzo	26	0
Marzo	27	0
Marzo	28	0
Marzo	29	0
Marzo	30	0
Marzo	31	0
Abril	1	0
Abril	2	0
Abril	3	0
Abril	4	0
Abril	5	0
Abril	6	0
Abril	7	0
Abril	8	0
Abril	9	0
Abril	10	0
Abril	11	0
Abril	12	0
Abril	13	0
Abril	14	0
Abril	15	0
Abril	16	0
Abril	17	0
Abril	18	0
Abril	19	0
Abril	20	0
Abril	21	0
Abril	22	0
Abril	23	0
Abril	24	0
Abril	25	0
Abril	26	0
Abril	27	0
Abril	28	0
Abril	29	0
Abril	30	0
Mayo	1	0
Mayo	2	0
Mayo	3	0
Mayo	4	0
Mayo	5	0
Mayo	6	0
Mayo	7	0
Mayo	8	0
Mayo	9	0
Mayo	10	0
Mayo	11	0
Mayo	12	0
Mayo	13	0
Mayo	14	0
Mayo	15	0
Mayo	16	0
Mayo	17	0
Mayo	18	0
Mayo	19	0
Mayo	20	0
Mayo	21	0
Mayo	22	0
Mayo	23	0
Mayo	24	0
Mayo	25	0
Mayo	26	0
Mayo	27	0
Mayo	28	0
Mayo	29	0
Mayo	30	0
Mayo	31	0
Junio	1	0
Junio	2	0
Junio	3	0
Junio	4	0
Junio	5	0
Junio	6	0
Junio	7	0
Junio	8	0
Junio	9	0
Junio	10	0
Junio	11	0
Junio	12	0
Junio	13	0
Junio	14	0
Junio	15	0
Junio	16	0
Junio	17	0
Junio	18	0
Junio	19	0
Junio	20	0
Junio	21	0
Junio	22	0
Junio	23	0
Junio	24	0
Junio	25	0
Junio	26	0
Junio	27	0
Junio	28	0
Junio	29	0
Junio	30	0
Julio	1	0
Julio	2	0
Julio	3	0
Julio	4	0
Julio	5	0
Julio	6	0
Julio	7	0
Julio	8	0
Julio	9	0
Julio	10	0
Julio	11	0
Julio	12	0
Julio	13	0
Julio	14	0
Julio	15	0
Julio	16	0
Julio	17	0
Julio	18	0
Julio	19	0
Julio	20	0
Julio	21	0
Julio	22	0
Julio	23	0
Julio	24	0
Julio	25	0
Julio	26	0
Julio	27	0
Julio	28	0
Julio	29	0
Julio	30	0
Julio	31	0
Agosto	1	0
Agosto	2	0
Agosto	3	0
Agosto	4	0
Agosto	5	0
Agosto	6	0
Agosto	7	0
Agosto	8	0
Agosto	9	0
Agosto	10	0
Agosto	11	0
Agosto	12	0
Agosto	13	0
Agosto	14	0
Agosto	15	0
Agosto	16	0
Agosto	17	0
Agosto	18	0
Agosto	19	0
Agosto	20	0
Agosto	21	0
Agosto	22	0
Agosto	23	0
Agosto	24	0
Agosto	25	0
Agosto	26	0
Agosto	27	0
Agosto	28	0
Agosto	29	0
Agosto	30	0
Agosto	31	0
Septiembre	1	0
Septiembre	2	0
Septiembre	3	0
Septiembre	4	0
Septiembre	5	0
Septiembre	6	0
Septiembre	7	0
Septiembre	8	0
Septiembre	9	0
Septiembre	10	0
Septiembre	11	0
Septiembre	12	0
Septiembre	13	0
Septiembre	14	0
Septiembre	15	0
Septiembre	16	0
Septiembre	17	0
Septiembre	18	0
Septiembre	19	0
Septiembre	20	0
Septiembre	21	0
Septiembre	22	0
Septiembre	23	0
Septiembre	24	0
Septiembre	25	0
Septiembre	26	0
Septiembre	27	0
Septiembre	28	0
Septiembre	29	0
Septiembre	30	0
Octubre	1	0
Octubre	2	0
Octubre	3	0
Octubre	4	0
Octubre	5	0
Octubre	6	0
Octubre	7	0
Octubre	8	0
Octubre	9	0
Octubre	10	0
Octubre	11	0
Octubre	12	0
Octubre	13	0
Octubre	14	0
Octubre	15	0
Octubre	16	0
Octubre	17	0
Octubre	18	0
Octubre	19	0
Octubre	20	0
Octubre	21	0
Octubre	22	0
Octubre	23	0
Octubre	24	0
Octubre	25	0
Octubre	26	0
Octubre	27	0
Octubre	28	0
Octubre	29	0
Octubre	30	0
Octubre	31	0
Noviembre	1	0
Noviembre	2	0
Noviembre	3	0
Noviembre	4	0
Noviembre	5	0
Noviembre	6	0
Noviembre	7	0
Noviembre	8	0
Noviembre	9	0
Noviembre	10	0
Noviembre	11	0
Noviembre	12	0
Noviembre	13	0
Noviembre	14	0
Noviembre	15	0
Noviembre	16	0
Noviembre	17	0
Noviembre	18	0
Noviembre	19	0
Noviembre	20	0
Noviembre	21	0
Noviembre	22	0
Noviembre	23	0
Noviembre	24	0
Noviembre	25	0
Noviembre	26	0
Noviembre	27	0
Noviembre	28	0
Noviembre	29	0
Noviembre	30	0
Diciembre	1	0
Diciembre	2	0
Diciembre	3	0
Diciembre	4	0
Diciembre	5	0
Diciembre	6	0
Diciembre	7	0
Diciembre	8	0
Diciembre	9	0
Diciembre	10	0
Diciembre	11	0
Diciembre	12	0
Diciembre	13	0
Diciembre	14	0
Diciembre	15	0
Diciembre	16	0
Diciembre	17	0
Diciembre	18	0
Diciembre	19	0
Diciembre	20	0
Diciembre	21	0
Diciembre	22	0
Diciembre	23	0
Diciembre	24	0
Diciembre	25	0
Diciembre	26	0
Diciembre	27	0
Diciembre	28	0
Diciembre	29	0
Diciembre	30	0
Diciembre	31	0
